ride_id,ride_date,elapsed_time,distance,bike_weight,moving_time,max_speed,avg_speed,elevation_gain,elevation_loss,elevation_low,elevation_high,max_grade,avg_grade,avg_power,calories,perceived_exertion,perceived_relative_effort,weather_observation_time,weather_temperature,apparent_temperature,humidity,weather_pressure,wind_speed,wind_gust,wind_bearing,sunrise_time,sunset_time,act_name_len,has_description,simple_exertion,start_time,end_time,row_count,segment_count,ride_elapsed_time,ride_moving_time,elapsed_distance,elapsed_ascent,elapsed_descent,elapsed_elevation,ride_avg_speed,ride_cruise_speed,ride_max_speed,training_window_id,ride_avg_power,ride_max_power,peak_20min_power
2975587283,1/2/2020 14:02,1642,8.49,15.8757,1411,9,6.023033142,19.55750084,,220.1999969,231.5,5.300000191,-0.005883391,,,7,45,,,,,,,,,,,25,TRUE,HARD,2020-01-02 14:02:58+00:00,2020-01-02 14:29:32+00:00,1352,5,1595,1352,5.266646771,137.1458,138.7863,275.9321,14.04550914,14.54707541,20.10767398,0,116.870855,552.0265418,124.7823571
2992935347,1/8/2020 13:20,1728,8.42,15.8757,1472,14.19999981,5.7254076,46.30178452,,217.8999939,242.8000031,5.300000191,0.224257812,,,,,,,,,,,,,,,18,TRUE,,2020-01-08 13:20:26+00:00,2020-01-08 13:49:06+00:00,1426,5,1721,1426,5.167961068,215.2336,153.2227,368.4563,13.11980809,14.15406929,30.58562272,0,122.3045546,970.2957791,131.1787973
2994399692,1/8/2020 22:08,1608,8.52,15.8757,1481,11.39999962,5.756245613,26.52630997,,217.8999939,242.8999939,16.70000076,-0.218181819,,,,,,,,,,,,,,,19,TRUE,,2020-01-08 22:08:17+00:00,2020-01-08 22:35:04+00:00,1423,7,1608,1423,5.257608607,158.4723,219.4989,377.9712,13.33980031,15.44382259,25.54456797,0,113.1618629,1299.649583,126.4619321
3248077156,4/2/2020 21:38,5143,10.36,15.8757,2544,13.39999962,4.074764252,72.45040894,55.75040054,241.5,277.1000061,32.09999847,0.161100507,,,5,45,,,,,,,,,,,27,FALSE,NORMAL,2020-04-02 21:38:02+00:00,2020-04-02 23:03:45+00:00,2580,5,5144,2580,6.759675758,329.4124,274.6197,604.0321,9.548413215,13.49573751,219.4574737,1,402.4954913,260893.371,737.9133424
3255473930,4/4/2020 17:23,9348,34.95,15.8757,6356,14.39999962,5.498945713,105.7043686,106.1039963,263.2000122,306,27.89999962,-0.00114445,,,5,114,,,,,,,,,,,21,TRUE,NORMAL,2020-04-04 17:23:43+00:00,2020-04-04 19:59:16+00:00,6416,12,9334,6416,22.73009007,575.1593,576.4717,1151.631,12.76418036,14.00971699,513.3994341,1,2104.76001,3328600.522,121.0683762
3286667096,4/11/2020 21:08,4558,18.16,15.8757,3904,11.69999981,4.651741982,75.83333588,75.83329773,242.1000061,277.8999939,22.10000038,0,,,3,32,,,,,,,,,,,31,TRUE,EASY,2020-04-11 21:08:20+00:00,2020-04-11 22:24:03+00:00,3957,10,4544,3957,11.34140832,326.1314,326.1314,652.2628,10.3334688,12.53840604,44.92813196,1,78.95678102,2345.325633,98.236627
3290080609,4/12/2020 14:28,7406,14.37,15.8757,3380,8.699999809,4.251360893,66.49954224,66.49949646,242.1999969,269.5,12.39999962,0,,,3,28,,,,,,,,,,,30,TRUE,EASY,2020-04-12 14:28:14+00:00,2020-04-12 16:31:38+00:00,3418,16,7405,3418,8.937974442,299.8834,299.8834,599.7668,9.430805767,12.26660419,19.26409369,1,69.97620328,635.2905562,87.31622609
3294902966,4/13/2020 18:10,2600,7.77,15.8757,1799,10.60000038,4.32395792,65.0258255,65.02580261,237.1000061,270.2999878,15.69999981,0,,,7,57,,,,,,,,,,,28,TRUE,HARD,2020-04-13 18:10:15+00:00,2020-04-13 18:52:41+00:00,1860,9,2547,1860,4.852929041,238.2006,238.2006,476.4012,9.406777904,12.31789185,23.91176849,1,79.15294535,400.2204932,93.04254968
3299844988,4/14/2020 21:25,2623,11.52,15.8757,2128,11.80000019,5.415272713,43.47553253,43.87549973,242.1999969,269.7999878,10.69999981,-0.003471107,,,6,56,,,,,,,,,,,10,FALSE,NORMAL,2020-04-14 21:25:18+00:00,2020-04-14 22:08:58+00:00,2173,10,2621,2173,7.171176732,175.8616,177.174,353.0356,11.90480464,14.39345917,25.47984983,1,102.3011067,570.3076739,
3309212141,4/16/2020 20:30,2289,11.56,15.8757,2122,10.30000019,5.450612545,45.13260651,45.13259888,242.3000031,269.3999939,18.89999962,0,,,,,,,,,,,,,,,17,FALSE,,2020-04-16 20:30:48+00:00,2020-04-16 21:08:56+00:00,2131,5,2289,2131,7.20997997,183.0798,183.0798,366.1596,12.1873257,14.15189987,22.95361704,1,101.1187393,336.4147431,112.4992837
